firm,company_canonical,event_date,quarter,total_count,security_count,general_count,sec_share
MrCooper,Mr. Cooper Group Inc.,2023-11-02,2022Q1,578,12,566,0.0208
MrCooper,Mr. Cooper Group Inc.,2023-11-02,2022Q2,446,13,433,0.0291
MrCooper,Mr. Cooper Group Inc.,2023-11-02,2022Q3,496,10,486,0.0202
MrCooper,Mr. Cooper Group Inc.,2023-11-02,2022Q4,403,10,393,0.0248
MrCooper,Mr. Cooper Group Inc.,2023-11-02,2023Q1,496,14,482,0.0282
MrCooper,Mr. Cooper Group Inc.,2023-11-02,2023Q2,422,7,415,0.0166
MrCooper,Mr. Cooper Group Inc.,2023-11-02,2023Q3,523,12,511,0.0229
MrCooper,Mr. Cooper Group Inc.,2023-11-02,2023Q4,673,15,658,0.0223
MrCooper,Mr. Cooper Group Inc.,2023-11-02,2024Q1,691,30,661,0.0434
MrCooper,Mr. Cooper Group Inc.,2023-11-02,2024Q2,587,15,572,0.0256
MrCooper,Mr. Cooper Group Inc.,2023-11-02,2024Q3,544,12,532,0.0221
MrCooper,Mr. Cooper Group Inc.,2023-11-02,2024Q4,588,14,574,0.0238
MrCooper,Mr. Cooper Group Inc.,2023-11-02,2025Q1,672,15,657,0.0223
MrCooper,Mr. Cooper Group Inc.,2023-11-02,2025Q2,684,20,664,0.0292
MrCooper,Mr. Cooper Group Inc.,2023-11-02,2025Q3,580,10,570,0.0172
MrCooper,Mr. Cooper Group Inc.,2023-11-02,2025Q4,685,13,672,0.019
loanDepot,"LD Holdings Group, LLC",2024-01-04,2022Q1,115,5,110,0.0435
loanDepot,"LD Holdings Group, LLC",2024-01-04,2022Q2,81,4,77,0.0494
loanDepot,"LD Holdings Group, LLC",2024-01-04,2022Q3,63,3,60,0.0476
loanDepot,"LD Holdings Group, LLC",2024-01-04,2022Q4,55,5,50,0.0909
loanDepot,"LD Holdings Group, LLC",2024-01-04,2023Q1,67,3,64,0.0448
loanDepot,"LD Holdings Group, LLC",2024-01-04,2023Q2,60,6,54,0.1
loanDepot,"LD Holdings Group, LLC",2024-01-04,2023Q3,59,2,57,0.0339
loanDepot,"LD Holdings Group, LLC",2024-01-04,2023Q4,68,3,65,0.0441
loanDepot,"LD Holdings Group, LLC",2024-01-04,2024Q1,74,7,67,0.0946
loanDepot,"LD Holdings Group, LLC",2024-01-04,2024Q2,61,10,51,0.1639
loanDepot,"LD Holdings Group, LLC",2024-01-04,2024Q3,53,7,46,0.1321
loanDepot,"LD Holdings Group, LLC",2024-01-04,2024Q4,66,10,56,0.1515
loanDepot,"LD Holdings Group, LLC",2024-01-04,2025Q1,66,4,62,0.0606
loanDepot,"LD Holdings Group, LLC",2024-01-04,2025Q2,77,7,70,0.0909
loanDepot,"LD Holdings Group, LLC",2024-01-04,2025Q3,62,4,58,0.0645
loanDepot,"LD Holdings Group, LLC",2024-01-04,2025Q4,79,1,78,0.0127
loanDepot,"LD Holdings Group, LLC",2024-01-04,2026Q1,91,4,87,0.044
loanDepot,"LD Holdings Group, LLC",2024-01-04,2026Q2,92,4,88,0.0435
Navient,"Navient Solutions, LLC.",2026-06-08,2022Q1,600,10,590,0.0167
Navient,"Navient Solutions, LLC.",2026-06-08,2022Q2,529,24,505,0.0454
Navient,"Navient Solutions, LLC.",2026-06-08,2022Q3,559,14,545,0.025
Navient,"Navient Solutions, LLC.",2026-06-08,2022Q4,427,41,386,0.096
Navient,"Navient Solutions, LLC.",2026-06-08,2023Q1,339,29,310,0.0855
Navient,"Navient Solutions, LLC.",2026-06-08,2023Q2,290,28,262,0.0966
Navient,"Navient Solutions, LLC.",2026-06-08,2023Q3,413,31,382,0.0751
Navient,"Navient Solutions, LLC.",2026-06-08,2023Q4,334,29,305,0.0868
Navient,"Navient Solutions, LLC.",2026-06-08,2024Q1,353,27,326,0.0765
Navient,"Navient Solutions, LLC.",2026-06-08,2024Q2,1070,35,1035,0.0327
Navient,"Navient Solutions, LLC.",2026-06-08,2024Q3,1165,21,1144,0.018
Navient,"Navient Solutions, LLC.",2026-06-08,2024Q4,492,7,485,0.0142
Navient,"Navient Solutions, LLC.",2026-06-08,2025Q1,550,47,503,0.0855
Navient,"Navient Solutions, LLC.",2026-06-08,2025Q2,280,34,246,0.1214
Navient,"Navient Solutions, LLC.",2026-06-08,2025Q3,171,11,160,0.0643
Navient,"Navient Solutions, LLC.",2026-06-08,2025Q4,148,5,143,0.0338
Navient,"Navient Solutions, LLC.",2026-06-08,2026Q1,228,6,222,0.0263
Navient,"Navient Solutions, LLC.",2026-06-08,2026Q2,146,2,144,0.0137
