firm,filing_date,window,accession,doc,doc_chars,cust_sec_sentences,incident_flag,intensity_0_3
UnitedHealth,2022-05-04,pre,000073176622000019,unh-20220331.htm,91939,2,1,1
UnitedHealth,2022-08-03,pre,000073176622000036,unh-20220630.htm,117346,2,1,1
UnitedHealth,2022-11-02,pre,000073176622000044,unh-20220930.htm,117064,2,1,1
UnitedHealth,2023-05-03,pre,000073176623000029,unh-20230331.htm,94058,2,1,1
UnitedHealth,2023-08-02,pre,000073176623000053,unh-20230630.htm,115404,2,1,1
UnitedHealth,2023-11-06,pre,000073176623000064,unh-20230930.htm,116345,2,1,1
UnitedHealth,2024-05-09,post,000073176624000155,unh-20240331.htm,99187,3,1,1
UnitedHealth,2024-08-09,post,000073176624000262,unh-20240630.htm,123738,4,1,2
UnitedHealth,2024-11-04,post,000073176624000323,unh-20240930.htm,127039,4,1,2
UnitedHealth,2025-05-07,post,000073176625000131,unh-20250331.htm,99852,2,1,1
UnitedHealth,2025-08-11,post,000073176625000236,unh-20250630.htm,125592,3,1,1
UnitedHealth,2025-10-28,post,000073176625000305,unh-20250930.htm,129824,3,1,1
UnitedHealth,2026-05-05,post,000073176626000127,unh-20260331.htm,113437,3,1,1
HealthEquity,2022-06-08,pre,000142833622000018,hqy-20220430.htm,135692,5,0,2
HealthEquity,2022-09-08,pre,000142833622000029,hqy-20220731.htm,146917,4,0,2
HealthEquity,2022-12-08,pre,000142833622000034,hqy-20221031.htm,149191,6,0,2
HealthEquity,2023-06-07,pre,000142833623000022,hqy-20230430.htm,124319,4,0,2
HealthEquity,2023-09-05,pre,000142833623000033,hqy-20230731.htm,136459,4,0,2
HealthEquity,2023-12-05,pre,000142833623000037,hqy-20231031.htm,141404,4,0,2
HealthEquity,2024-06-03,pre,000142833624000036,hqy-20240430.htm,141151,2,0,1
HealthEquity,2024-09-03,post,000142833624000102,hqy-20240731.htm,165602,8,1,2
HealthEquity,2024-12-09,post,000142833624000110,hqy-20241031.htm,164079,5,1,2
HealthEquity,2025-06-03,post,000142833625000022,hqy-20250430.htm,128702,5,1,2
HealthEquity,2025-09-02,post,000142833625000029,hqy-20250731.htm,151953,4,1,2
HealthEquity,2025-12-03,post,000142833625000036,hqy-20251031.htm,154154,9,1,2
HealthEquity,2026-05-28,post,000142833626000028,hqy-20260430.htm,136469,4,1,2
MrCooper,2022-04-28,pre,000093313622000045,coop-20220331.htm,197969,3,0,1
MrCooper,2022-07-27,pre,000093313622000075,coop-20220630.htm,227333,5,0,2
MrCooper,2022-10-26,pre,000093313622000086,coop-20220930.htm,219336,3,0,1
MrCooper,2023-04-26,pre,000093313623000046,coop-20230331.htm,189054,2,0,1
MrCooper,2023-07-26,pre,000093313623000075,coop-20230630.htm,212752,2,0,1
MrCooper,2023-10-25,pre,000093313623000091,coop-20230930.htm,235978,1,0,1
MrCooper,2024-04-24,post,000093313624000035,coop-20240331.htm,189942,3,1,1
MrCooper,2024-07-26,post,000093313624000069,coop-20240630.htm,222111,4,1,2
MrCooper,2024-10-23,post,000093313624000081,coop-20240930.htm,216009,3,1,1
MrCooper,2025-04-23,post,000093313625000033,coop-20250331.htm,191593,2,1,1
MrCooper,2025-07-23,post,000093313625000071,coop-20250630.htm,208862,3,1,1
loanDepot,2022-05-13,pre,000183163122000135,ldi-20220331.htm,232746,1,0,1
loanDepot,2022-08-11,pre,000183163122000229,ldi-20220630.htm,255810,1,0,1
loanDepot,2022-11-10,pre,000183163122000326,ldi-20220930.htm,247435,1,0,1
loanDepot,2023-05-11,pre,000183163123000154,ldi-20230331.htm,196304,0,0,0
loanDepot,2023-08-10,pre,000183163123000258,ldi-20230630.htm,219120,1,0,1
loanDepot,2023-11-09,pre,000183163123000308,ldi-20230930.htm,221000,1,0,1
loanDepot,2024-05-09,post,000183163124000112,ldi-20240331.htm,200195,8,1,2
loanDepot,2024-08-08,post,000183163124000202,ldi-20240630.htm,233836,8,1,2
loanDepot,2024-11-12,post,000183163124000285,ldi-20240930.htm,242106,9,1,2
loanDepot,2025-05-08,post,000183163125000083,ldi-20250331.htm,203881,3,1,1
